id;make;model;train;valid;title;numel;size0;size1;qfMin;qfMax
7322051411;Amazon;Fire;1;0;Amazon Fire Phone Sample Gallery;29;4160;3120;95;95
6012702079;Apple;iPhone 5s;1;0;iPhone 5s gallery;52;3264;2448;95;97
2985242251;Apple;iPhone 6 Plus;1;0;Apple iPhone 6 Plus Review Samples;28;3264;2448;95;97
1025395973;Apple;iPhone 6s;1;0;iPhone 6S Real-world Samples;44;4032;3024;95;98
7612056208;Apple;iPhone 6s Plus;1;0;Apple iPhone 6s Plus Review Samples;66;4032;3024;96;96
6451030628;Apple;iPhone 7;1;0;iPhone 7 sample gallery;30;4032;3024;95;97
9692509593;Apple;iPhone 7 Plus;0;1;Apple iPhone 7 Plus Review Samples;57;4032;3024;95;96
2637450826;Apple;iPhone 8 Plus;1;0;iPhone 8 Plus sample gallery;26;4032;3024;95;95
7669073668;Apple;iPhone X;1;0;iPhone X sample gallery;80;4032;3024;90;100
7780769194;Apple;iPhone XS Max;1;0;iPhone XS / XS Max sample gallery;19;4032;3024;95;97
9807802541;Canon;Canon DIGITAL IXUS 40;1;0;Canon SD300 Reviews Samples;28;2272;1704;96;98
3472971425;Canon;Canon DIGITAL IXUS 50;1;0;Canon SD400 Review Samples;30;2592;1944;96;98
6616772321;Canon;Canon DIGITAL IXUS 55;1;0;Canon SD450 Samples Gallery;30;2592;1944;98;98
6851479137;Canon;Canon DIGITAL IXUS 700;1;0;Canon SD500 Review Samples;30;3072;2304;96;98
7475900706;Canon;Canon DIGITAL IXUS 750;1;0;Canon SD550 Review Samples;30;3072;2304;98;98
7108473655;Canon;Canon DIGITAL IXUS 80 IS;1;0;Canon SD1100 IS (IXUS 80) Review Samples;39;3264;2448;96;98
8928252022;Canon;Canon DIGITAL IXUS 800 IS;1;0;Canon SD700 IS Review Samples;30;2816;2112;98;98
6018312265;Canon;Canon DIGITAL IXUS 850 IS;1;0;Canon PowerShot SD800 IS Review Samples;30;3072;2304;98;98
2704471712;Canon;Canon DIGITAL IXUS 860 IS;1;0;Canon SD870 IS Review Samples;30;3264;2448;98;98
1480983897;Canon;Canon DIGITAL IXUS 900Ti;1;0;Canon SD900 Review Samples;30;3648;2736;96;98
3266575943;Canon;Canon DIGITAL IXUS 950 IS;1;0;Canon SD850 IS Review Samples;37;3264;2448;98;98
2731853902;Canon;Canon DIGITAL IXUS 990 IS;0;1;Canon Powershot SD970 IS Samples Gallery;25;4000;3000;96;96
6810310134;Canon;Canon EOS 1000D;1;0;Canon EOS 1000D / Rebel XS Review Samples;38;3888;2592;98;98
5774422920;Canon;Canon EOS 10D;1;0;Canon EOS 10D Review Samples;15;3072;2048;90;98
6066804462;Canon;Canon EOS 1100D;1;0;Canon EOS 1100D Review Samples;42;4272;2848;98;98
2635622765;Canon;Canon EOS 20D;1;0;Canon EOS 20D Review Samples;14;3504;2336;96;100
6590146709;Canon;Canon EOS 300D DIGITAL;1;0;Canon EOS 300D Review Samples Two;18;3072;2048;98;98
1562011426;Canon;Canon EOS 30D;1;0;Canon EOS 30D Review Samples;31;3504;2336;96;98
0518357823;Canon;Canon EOS 350D DIGITAL;1;0;Canon EOS 350D Review Samples One;16;3456;2304;90;98
9025332744;Canon;Canon EOS 400D DIGITAL;1;0;Canon EOS 400D Review Samples;23;3888;2592;98;98
9373533410;Canon;Canon EOS 40D;1;0;Canon EOS 40D Review Samples;27;3888;2592;96;98
6129599320;Canon;Canon EOS 450D;1;0;Canon EOS 450D / Rebel XSi Review Samples;33;4272;2848;97;98
5169178038;Canon;Canon EOS 500D;0;1;Canon EOS 500D Review Samples;33;4752;3168;97;98
3308124008;Canon;Canon EOS 50D;1;0;Canon EOS 50D Review Samples;34;4752;3168;97;98
5776285652;Canon;Canon EOS 550D;0;1;Canon EOS 550D review samples;32;5184;3456;98;100
