id_model;id;make;model;orin;qf;size0;size1
7322051411;1728161198;Amazon;Fire;-1;95.0;4160;3120
7322051411;4324171913;Amazon;Fire;-1;95.0;4160;3120
7322051411;1827430622;Amazon;Fire;-1;95.0;4160;3120
7322051411;4206013541;Amazon;Fire;-1;95.0;4160;3120
7322051411;8879901833;Amazon;Fire;-1;95.0;4160;3120
7322051411;4544130086;Amazon;Fire;-1;95.0;4160;3120
7322051411;5073727424;Amazon;Fire;-1;95.0;4160;3120
7322051411;7877316934;Amazon;Fire;-1;95.0;4160;3120
7322051411;8216932071;Amazon;Fire;-1;95.0;4160;3120
7322051411;6569128414;Amazon;Fire;-1;95.0;4160;3120
7322051411;6749089112;Amazon;Fire;-1;95.0;4160;3120
7322051411;2738383728;Amazon;Fire;-1;95.0;4160;3120
7322051411;3830805230;Amazon;Fire;-1;95.0;4160;3120
7322051411;8080090625;Amazon;Fire;-1;95.0;4160;3120
7322051411;3338000266;Amazon;Fire;-1;95.0;4160;3120
7322051411;2910558017;Amazon;Fire;-1;95.0;4160;3120
7322051411;7601124617;Amazon;Fire;-1;95.0;4160;3120
7322051411;8024282474;Amazon;Fire;-1;95.0;4160;3120
7322051411;5283469477;Amazon;Fire;-1;95.0;4160;3120
7322051411;0256686407;Amazon;Fire;-1;95.0;4160;3120
7322051411;0858410041;Amazon;Fire;-1;95.0;4160;3120
7322051411;8002249246;Amazon;Fire;-1;95.0;4160;3120
7322051411;5309660018;Amazon;Fire;-1;95.0;4160;3120
7322051411;5807853852;Amazon;Fire;-1;95.0;4160;3120
7322051411;5053821266;Amazon;Fire;-1;95.0;4160;3120
7322051411;1968379041;Amazon;Fire;-1;95.0;4160;3120
7322051411;8879060022;Amazon;Fire;-1;95.0;4160;3120
7322051411;1044899125;Amazon;Fire;-1;95.0;4160;3120
7322051411;8631429213;Amazon;Fire;-1;95.0;4160;3120
6012702079;1146064630;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;1479795559;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;5017151918;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;8021246536;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;4327619923;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;6098727214;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;6549641290;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;4900957642;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;0585896318;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;6602774612;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;9231653702;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;1929674338;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;3576667248;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;4384539110;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;1175205318;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;2436392761;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;1463125254;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;5019696964;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;0016627020;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;7841521354;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;8729514292;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;1421948253;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;5527365622;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;9639415394;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;9711072319;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;8730656267;Apple;iPhone 5s;1;97.0;3264;2448
6012702079;1471619440;Apple;iPhone 5s;1;95.0;3264;2448
6012702079;7287452319;Apple;iPhone 5s;1;95.0;3264;2448
